iter	Logloss
0	0.6897248058
1	0.6842449932
2	0.6795973928
3	0.6742488371
4	0.668969648
5	0.6634684733
6	0.6589640204
7	0.6537282713
8	0.6488455807
9	0.6442854288
10	0.6396455363
11	0.6350126418
12	0.6305916047
13	0.6260274562
14	0.6211544808
15	0.6175250206
16	0.6133948772
17	0.6095268546
18	0.6069565015
19	0.602841478
20	0.6006499781
21	0.596474417
22	0.5929490003
23	0.5908955139
24	0.5871894924
25	0.5842162067
26	0.5814335407
27	0.5785794342
28	0.5755144165
29	0.5724328103
30	0.5689825747
31	0.5659079879
32	0.5633895538
33	0.5604091343
34	0.55879265
35	0.5556483578
36	0.5537453463
37	0.5508221184
38	0.5481207983
39	0.545717913
40	0.5431775933
41	0.5403614446
42	0.5380546165
43	0.5354227149
44	0.5330751096
45	0.5305710174
46	0.5281293774
47	0.5255680696
48	0.5233035822
49	0.5207109356
50	0.5189348181
51	0.5165813964
52	0.5154328044
53	0.5128987491
54	0.5112709925
55	0.5096204553
56	0.5075698233
57	0.5055250955
58	0.5034410247
59	0.5016927855
60	0.4999829636
61	0.4981792965
62	0.4961345097
63	0.4942526769
64	0.492744995
65	0.4908477391
66	0.4894187073
67	0.4877460106
68	0.4859792333
69	0.484663063
70	0.4828145353
71	0.4813163499
72	0.4796857505
73	0.478066718
74	0.4767302109
75	0.4755939694
76	0.4743418092
77	0.4729745887
78	0.4715263255
79	0.4699983886
80	0.4693089623
81	0.4684371427
82	0.4670471372
83	0.4660386167
84	0.4647224253
85	0.4635278922
86	0.4621275928
87	0.46113169
88	0.4606342587
89	0.4600836296
90	0.4587539951
91	0.4574928085
92	0.4565773172
93	0.4560438663
94	0.4553102632
95	0.4544781393
96	0.4536328888
97	0.452461623
98	0.4520192527
99	0.4510788399
100	0.4500109425
101	0.449060452
102	0.4483220693
103	0.4476271066
104	0.446692535
105	0.4454724497
106	0.4451281463
107	0.4445719357
108	0.4437810588
109	0.4427607896
110	0.4418742384
111	0.4415202033
112	0.440703342
113	0.4402193505
114	0.4395078718
115	0.4390367772
116	0.4386789095
117	0.4379012504
118	0.4369579902
119	0.4359727977
120	0.4356420437
121	0.434712795
122	0.4342331248
123	0.4338836405
124	0.4332305367
125	0.4325892887
126	0.4323432371
127	0.4314509609
128	0.4306178076
129	0.4297447467
130	0.4290978527
131	0.4287199216
132	0.4281561788
133	0.4275951321
134	0.4269177125
135	0.4261531091
136	0.4255498508
137	0.4249371685
138	0.4242943173
139	0.4237029778
140	0.4232680029
141	0.4225101014
142	0.4217668406
143	0.4212469923
144	0.4206644534
145	0.420120404
146	0.4199293812
147	0.4196913821
148	0.4195601738
149	0.4191746006
150	0.4187604647
151	0.4183839537
152	0.4176734089
153	0.4172500364
154	0.4169121258
155	0.4162751269
156	0.4161988208
157	0.4157238417
158	0.4155944913
159	0.4153843179
160	0.4150068733
161	0.4147503161
162	0.41422476
163	0.4136531535
164	0.4131973729
165	0.4128432693
166	0.412397528
167	0.4119220692
168	0.4113638654
169	0.4109650219
170	0.4106104966
171	0.4101661216
172	0.4097126234
173	0.409303278
174	0.4087406474
175	0.4083979733
176	0.408032053
177	0.4078512194
